Submission ID,Respondent ID,Submitted at,Store Name,Kya staff nein price change ke baare mein inform kiya?,"Jaane ke pehle kabhi bhi,
kya customer nein,
item price ya total price ke liye bill check kiya?","Price ke baare mein, 
kya customer nein ek bhi word bola?","Kya kya bola? 
(multiple options select kar sakte hain)","Price ke baare mein, 
kya customer nein bina kuch bole, 
koi bhi reaction diya?","Kya kya reaction diye? 
(multiple options select kar sakte hain)",Bill ka kya hua?,Bill Number (if bill bana) or Patient ID (compulsory if bill nahin bana),Optional sawaal - aapki koi raay ya customer ke koi emotions?
jeQWD5a,A7AJlde,2026-05-15 05:33:10,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513769,
peBWxE1,A7AJlde,2026-05-15 05:35:40,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513770,
PR5YdjV,ja54xQY,2026-05-15 05:36:42,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153937,
vXyLGzD,A7AJlde,2026-05-15 05:39:44,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513771,
PR5Yde5,ja54xQY,2026-05-15 05:40:21,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153938,
rDALDkX,PdvE0Ad,2026-05-15 05:45:47,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196237,
DqdDqPZ,A7AJlde,2026-05-15 05:46:37,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513777,
Vp5YpgE,pbRdLAZ,2026-05-15 05:48:03,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394610,
xVayVk9,pbRdLAZ,2026-05-15 05:48:29,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394612,
peBWr5y,PdvE0Ad,2026-05-15 05:52:09,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196238,
NqWYr1j,PdvE0Ad,2026-05-15 05:53:25,Khar,No,Yes,Yes,Compared two quantity sizes and the price,,,No change. Jaisa ban na tha bana.,ZKRWT-196239,
7X2vqyZ,A7AJlde,2026-05-15 05:53:48,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513781,
5X1vbR6,A7AJlde,2026-05-15 05:54:09,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513780,
ladWqMB,gDYAZLO,2026-05-15 05:57:36,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355958,
q5AWaz2,gDYAZLO,2026-05-15 05:58:01,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355960,
OQ5Ylgp,gDYAZLO,2026-05-15 05:58:27,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355962,
1W7vkgL,gDYAZLO,2026-05-15 05:58:48,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355963,
xVayjbE,gDYAZLO,2026-05-15 05:59:11,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355964,
2jNvB6e,gDYAZLO,2026-05-15 05:59:33,Bandra Hill Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355965,
YjWY0pW,ja54xQY,2026-05-15 06:03:32,Colaba,Yes,,Yes,"Confirm kiya (eg ""Rate badha hai kya?""), Pichle time mai 43 ya 45 me lekar gya tha",,,Bana hi nahin. Customer chale gaye.,No number ,Customer rate puch kar wapas chala gya 
EqQDdAX,gDYAZLO,2026-05-15 06:04:30,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355966,
J1ADpG4,pbRdLAZ,2026-05-15 06:04:34,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394617,
KplDxYX,pbRdLAZ,2026-05-15 06:07:10,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394618,
zEDJMyR,A7AJlde,2026-05-15 06:07:45,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513785,Requested hardcopy of the bill.
X5WYopO,eqKDBYx,2026-05-15 06:12:20,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68148,
5X1vZdo,gDYAZLO,2026-05-15 06:14:42,Bandra Hill Road,No,Yes,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZBDRA-355967,
2jNvKd9,eqKDBYx,2026-05-15 06:17:37,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68149,
0V6vOeP,A7AJlde,2026-05-15 06:19:58,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513788,
BEkD785,PdvE0Ad,2026-05-15 06:21:37,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196240,
9NDvQ4G,PdvE0Ad,2026-05-15 06:22:11,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196241,
RW5YPN4,ja54xQY,2026-05-15 06:23:48,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153940,
zEDJYkM,A7AJlde,2026-05-15 06:23:56,Sanpada,No,No,No,,Yes,Furrowed eyebrows.,No change. Jaisa ban na tha bana.,SANP-513789,
gbMZGBD,ja54xQY,2026-05-15 06:24:05,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153942,
e5e2R1e,gDYAZLO,2026-05-15 06:24:43,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355969,
GedDdep,gDYAZLO,2026-05-15 06:25:08,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355968,
DqdDdAN,gDYAZLO,2026-05-15 06:27:45,Bandra Hill Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355970,
6D2v7LJ,pbRdLAZ,2026-05-15 06:31:19,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394623,
1W7vlEO,PdvE0Ad,2026-05-15 06:32:47,Khar,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196243,
ladWN6N,A7AJlde,2026-05-15 06:37:13,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513793,
jeQWMe9,eqKDBYx,2026-05-15 06:42:22,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68151,
RW5Y45K,A7AJlde,2026-05-15 06:43:16,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513796,Just requested pharmacist to redeem coins and give hardcopy of the bill.
0V6vM0A,A7AJlde,2026-05-15 06:46:32,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513797,
DqdDexZ,A7AJlde,2026-05-15 06:50:37,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513799,
4axvj9Y,PdvE0Ad,2026-05-15 06:50:38,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196244,
9NDvlxY,A7AJlde,2026-05-15 06:51:16,Sanpada,No,No,Yes,"Hairaan hue (eg ""Arre phir se rate badha diye?""), Said ""Badhte hi jaa rha hai iska.""",,,No change. Jaisa ban na tha bana.,SANP-513800,
7X2vZgL,ja54xQY,2026-05-15 06:51:43,Colaba,No,No,Yes,Rate confirm karne aya tha,No,,Bana hi nahin. Customer chale gaye.,Number nhi hai ,Customer rate puch kar wapas chala gya wo store pe sirf rate confirm karne aya tha kyunki hamtre yha jada discount milta hai ishiliye 
o9MdOa1,pbRdLAZ,2026-05-15 06:51:48,Goregaon,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-3946226,
RW5YLpK,eqKDBYx,2026-05-15 06:53:01,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68152,
8NQ8e7l,PdvE0Ad,2026-05-15 06:53:13,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196245,
BEkDBOR,eqKDBYx,2026-05-15 06:53:26,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68153,
rDALVXL,eqKDBYx,2026-05-15 06:58:20,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68154,
q5AWWpO,A7AJlde,2026-05-15 07:02:20,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513801,
GedDJMZ,PdvE0Ad,2026-05-15 07:09:09,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196247,
0V6vj80,PdvE0Ad,2026-05-15 07:10:28,Khar,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196246,
GedDBp2,gDYAZLO,2026-05-15 07:10:29,Bandra Hill Road,No,Yes,Yes,"Mol bhaav kiya (eg ""Discount badha do"")",,,No change. Jaisa ban na tha bana.,ZBDRA-355975,
o9MdVMM,PdvE0Ad,2026-05-15 07:10:44,Khar,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196248,
5X1vqkQ,gDYAZLO,2026-05-15 07:11:06,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355976,
DqdDvxR,gDYAZLO,2026-05-15 07:12:10,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355978,
zEDJQLa,eqKDBYx,2026-05-15 07:12:27,Goregaon W SV Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68159,
RW5YZYP,eqKDBYx,2026-05-15 07:16:28,Goregaon W SV Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,Zgwsv-68160,
BEkD8D7,pbRdLAZ,2026-05-15 07:21:36,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394631,
OQ5Y8bk,PdvE0Ad,2026-05-15 07:22:23,Khanda Colony,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-1962429,
GedDYjL,A7AJlde,2026-05-15 07:23:25,Sanpada,No,No,Yes,"Mol bhaav kiya (eg ""Discount badha do""), Asked for general discount, nothing related to price hike.",,,No change. Jaisa ban na tha bana.,SANP-513802,
bZxrN02,A7AJlde,2026-05-15 07:24:41,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513803,Requested hardcopy of the bill.
xVay4ad,PdvE0Ad,2026-05-15 07:25:48,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196242,
OQ5YdYR,gDYAZLO,2026-05-15 07:26:38,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355980,
PR5Yv25,PdvE0Ad,2026-05-15 07:26:52,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196250,
2jNv1yM,PdvE0Ad,2026-05-15 07:28:11,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196251,
2jNv1Ye,A7AJlde,2026-05-15 07:28:26,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513805,
Vp5Y4Eg,PdvE0Ad,2026-05-15 07:34:45,Khar,No,Yes,Yes,Asked the price of each tablet & checked the mrp,,,No change. Jaisa ban na tha bana.,ZKRWT-196252,Asked for more discount saying other medical give more discounts but buyed all medicines later
zEDJ1va,A7AJlde,2026-05-15 07:37:49,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513807,
RW5YV7Q,PdvE0Ad,2026-05-15 07:39:30,Khar,No,Yes,Yes,He compared the prices of online and came to return the product,,,Return order,ZKRWT-196059,He compared the prices of online and came to return the product
M1zYMOX,A7AJlde,2026-05-15 07:41:08,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513808,
rDALvr5,A7AJlde,2026-05-15 07:41:41,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513809,Extension of bill SANP-513808.
rDALYKR,PdvE0Ad,2026-05-15 07:46:12,Khar,No,Yes,No,,No,,New customer,ZKRWT-196255,
Qo5YEJG,PdvE0Ad,2026-05-15 07:51:41,Khar,No,Yes,Yes,Was Dissatisfied with discount coupon,,,No change. Jaisa ban na tha bana.,ZKRWT-196256,Was dissatisfied while receiving only 20 rs discount on 1134rs bill
OQ5Yrl8,PdvE0Ad,2026-05-15 07:55:16,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196258,
dbxjpjy,PdvE0Ad,2026-05-15 08:01:41,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196261,
ladW59v,gDYAZLO,2026-05-15 08:03:16,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355986,
6D2v96P,gDYAZLO,2026-05-15 08:03:41,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355985,
jeQWpN6,pbRdLAZ,2026-05-15 08:04:20,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394636,
xVayBVE,PdvE0Ad,2026-05-15 08:05:05,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196266,
zEDJog1,pbRdLAZ,2026-05-15 08:12:42,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394638,
8NQ8yVo,PdvE0Ad,2026-05-15 08:13:16,Khar,No,Yes,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZKRWT-196269,
4axvYKA,ja54xQY,2026-05-15 08:25:31,Colaba,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153953,
GedDV1Z,PdvE0Ad,2026-05-15 08:26:02,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196276,
WJ5Y6Ma,pbRdLAZ,2026-05-15 08:26:25,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394640,
Qo5YqBg,ja54xQY,2026-05-15 08:26:31,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153954,
6D2vYGY,PdvE0Ad,2026-05-15 08:28:00,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196275,
q5AWq67,gDYAZLO,2026-05-15 08:28:57,Bandra Hill Road,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355989,
LDWYjAG,gDYAZLO,2026-05-15 08:29:17,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZBDRA-355990,
kb6WjZo,ja54xQY,2026-05-15 08:30:51,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-153955,
peBWYZq,PdvE0Ad,2026-05-15 08:36:43,Khar,No,Yes,Yes,He compared branded and generic medicines,,,No change. Jaisa ban na tha bana.,ZKRWT-196279,There was difference of 1 ruppes in bill so customer preferred the branded or ethical medicine 
YjWYla5,A7AJlde,2026-05-15 08:39:33,Sanpada,No,No,No,,No,,No change. Jaisa ban na tha bana.,SANP-513818,
peBWpAV,gDYAZLO,2026-05-15 08:40:00,Bandra Hill Road,No,Yes,No,,Yes,Eye brow upar ki,No change. Jaisa ban na tha bana.,ZBDRA-355992,
