drug_id,Drug name,Selling Price,Assortment Classification,Old Price,Drug Type
487522,Goodsartan 20mg Tablet 10s-Gaid,61,Generic,54,GA
488142,Esopraid 40mg Tablet 10s-Gaid,29,Generic,25,GA
488159,Goodsartan 40mg Tablet 10s-Gaid,110,Generic,99,GA
495100,Nikoaid 5mg Tablet 20s-Gaid,86,Generic,74,GA
503293,Cilnigood 20mg Tablet 10s-Gaid,48,Generic,42,GA
524000,Empaaid M 12.5/500mg Tablet 10s-Gaid,53,Generic,47,GA
487512,Aidsartan CT 12.5mg Tablet 10s-Gaid,57,Generic,50,GA
488132,Goodvastatin F Tablet 10s-Gaid,48,Generic,41,GA
488234,Aidformin SR 1gm Tablet 10s-Gaid,27,Generic,26,GA
488855,Goodgab M 75mg Capsule 10s-Gaid,67,Generic,59,GA
487869,Gliaid Forte 1mg PR Tablet 10s -Gaid,42,Generic,36,GA
494207,Carvyaid 3.125mg Tablet 10s-Gaid,26,Generic,22,GA
496211,Goodolol XL 50mg Tablet 10s-Gaid,41,Generic,37,GA
501795,Linagood 5mg Tablet 10s-Gaid,72,Generic,65,GA
491308,Goodsulide Tablet 10s-Gaid,19,Generic,15,GA
491320,Predipine H Tablet 15s-Gaid,26,Generic,21,GA
495099,Nikoaid 10mg Tablet 20s-Gaid,121,Generic,105,GA
488832,Aidsartan AM 40/5mg Tablet 10s-Gaid,51,Generic,44,GA
488851,Gliaid M0.5mg PR Tablet 10s-Gaid,24,Generic,20,GA
489283,Ateaid 50mg Tablet 14s-Gaid,23,Generic,20,GA
487503,Gliaid M2mg PR Tablet 10s-Gaid,37,Generic,31,GA
487750,Goodvastatin 10mg Tablet 10s-Gaid,30,Generic,26,GA
487508,Goodgliptin M 500mg Tablet 10s-Gaid,59,Generic,51,GA
487517,Goodvastatin 20mg Tablet 10s-Gaid,49,Generic,43,GA
488153,Goodprofen Plus Tablet 20s-Gaid,26,Generic,23,GA
491297,Goodizine L 10 Tablet 10s-Gaid,28,Generic,24,GA
491821,Repagood 1mg Tablet 10s-Gaid,103,Generic,93,GA
487520,Glibenaid M 500mg Tablet 10s-Gaid,25,Generic,21,GA
487527,Gliaid MV 1.2mg SR Tablet 10s-Gaid,46,Generic,40,GA
487582,Aidsartan H 40/12.5mg Tablet 10s-Gaid,48,Generic,42,GA
487502,Gliaid M1mg PR Tablet 10s-Gaid,34,Generic,29,GA
490453,Nefrogood Tablet 10s-Gaid,117,Generic,113,GA
503851,Rovasaid CV 10mg Capsule 10s-Gaid,77,Generic,66,GA
504824,Maxiaid Capsule 10s-Gaid,79,Generic,75,GA
509009,Aidflux Mint Tablet 15s-Gaid,20,Generic,18,GA
490237,Predipine 10mg Tablet 10s-Gaid,22,Generic,18,GA
501335,Sorbigood 1000mg Tablet 10s-Gaid,30,Generic,26,GA
487506,Gliclagood M 80mg Tablet 10s-Gaid,55,Generic,48,GA
487529,Gliaid 2mg Tablet 10s-Gaid,35,Generic,31,GA
487870,Gliaid Forte 2mg PR Tablet 10s-Gaid,46,Generic,38,GA
500902,Rovasaid 10mg Tablet 10s-Gaid,57,Generic,51,GA
487584,Aidsartan 40mg Tablet 10s-Gaid,32,Generic,31,GA
488833,Goodgrel A 150mg Tablet 10s-Gaid,39,Generic,32,GA
489437,Carvyaid 6.25mg Tablet 10s-Gaid,31,Generic,26,GA
491522,Aidrolac DT Tablet 10s-Gaid,30,Generic,26,GA
494212,Gliaid M4mg PR Tablet 10s-Gaid,42,Generic,36,GA
487577,Aidfenac P Tablet 10s-Gaid,25,Generic,20,GA
487581,Gliaid MV 2.2mg SR Tablet 10s-Gaid,49,Generic,43,GA
488126,Goodvastatin Gold 10mg Capsule 15s-Gaid,69,Generic,69,GA
488135,Goodcaltrol HD Tablet 15s-Gaid,37,Generic,32,GA
490233,Goodgab NTM SR Tablet 10s-Gaid,100,Generic,89,GA
490242,Goodvert 8mg Tablet 10s-Gaid,23,Generic,19,GA
488233,Aidformin SR 500mg Tablet 10s-Gaid,14,Generic,14,GA
497671,Rovasaid 5mg Tablet 10s-Gaid,44,Generic,38,GA
488828,Aidgliflozin 10mg Tablet 10s-Gaid,90,Generic,80,GA
488849,Esopraid D SR Capsule 10s-Gaid,55,Generic,46,GA
491532,Goodcaltrol Super Tablet 15s-Gaid,42,Generic,37,GA
501915,Goodom 20mg Capsule 15s-Gaid,31,Generic,28,GA
488144,Goodhem XT Tablet 10s-Gaid,62,Generic,53,GA
488856,Ranolaid ER Tablet 10s-Gaid,82,Generic,74,GA
491832,Goodcofol OD Tablet 10s-Gaid,77,Generic,70,GA
755510,Goodaid Multivitamin Tablet 60s-Gaid,320,Generic,320,GA
754180,Goodgaba NT 100mg Tablet 10s-Gaid,80,Generic,73,GA
520485,Predipine 2.5mg Tablet 30s-Gaid,38,Generic,38,GA
524474,Gliaid 0.5mg Tablet 10s-Gaid,13,Generic,9,GA
488230,Aidluzole Cream 30gm-Gaid,99,Generic,89,GA
407900,CIP Z TABLET 10 TAB,53,Generic,50,NGA
436732,Amrocad 0.25% Cream 30gm,275,Generic,262,NGA
27233,CIPCAL 150ML SYRUP,69,Generic,69,NGA
407672,TENEPLA 20MG TABLET 10 TAB,90,Generic,85,NGA
