day,patients,qty,revenue,cogs,promo_discount,rgm,rgm_pct
2026-03-20,29,103,4035.02,953.7674999999999,53.49,3081.2525,0.7636
2026-03-21,24,93,3628.69,936.7365,95.82000000000001,2691.9535,0.7419
2026-03-22,23,73,2978.9,632.4675,33.1,2346.4325,0.7877
2026-03-23,25,114,4185.5599999999995,1052.52,129.44,3133.04,0.7485
2026-03-24,29,109,4341.4800000000005,1029.42,53.05,3312.0600000000004,0.7629
2026-03-25,25,105,3878.79,926.954,60.050000000000004,2951.836,0.761
2026-03-26,29,121,4805.86,1250.844,102.17999999999999,3555.016,0.7397
2026-03-27,29,95,3945.65,821.093,55.28,3124.557,0.7919
2026-03-28,28,134,4949.15,1177.834,131.72,3771.316,0.762
2026-03-29,28,119,4731.15,1170.414,119.81,3560.736,0.7526
2026-03-30,34,105,4504.39,1015.4655,93.42,3488.9245,0.7746
2026-03-31,37,155,6263.8099999999995,1539.93,257.65,4723.88,0.7542
2026-04-01,23,102,4244.81,1030.218,114.64,3214.592,0.7573
2026-04-02,31,179,7555.5199999999995,1636.7085,191.4,5918.8115,0.7834
2026-04-03,32,144,5955.75,1339.485,167.43,4616.265,0.7751
2026-04-04,22,92,3711.58,873.3165,82.42,2838.2635,0.7647
2026-04-05,30,99,4048.19,839.7864999999999,135.73000000000002,3208.4035,0.7926
2026-04-06,42,171,7505.72,1865.7205,234.91,5639.9995,0.7514
2026-04-07,36,224,8342.46,2030.8414,175.55,6311.6186,0.7566
2026-04-08,35,161,6328.32,1455.9405000000002,190.22,4872.3795,0.7699
2026-04-09,36,181,7462.5,1745.534,152.18,5716.965999999999,0.7661
2026-04-10,39,168,6441.04,1549.142,168.65,4891.898,0.7595
2026-04-11,30,104,4620.46,1115.5305,209.99,3504.9295,0.7586
2026-04-12,28,117,4985.03,1116.7694999999999,153.73000000000002,3868.2605,0.776
2026-04-13,31,208,8544.67,1919.6205,100.7,6625.0495,0.7753
2026-04-14,21,72,3034.03,641.34,92.14,2392.69,0.7886
2026-04-15,28,82,3671.18,681.5445,101.57000000000001,2989.6355,0.8144
2026-04-16,25,116,4565.56,1016.225,70.22999999999999,3549.335,0.7774
2026-04-17,27,111,5274.13,1093.7675,73.28,4180.3625,0.7926
2026-04-18,38,131,5676.69,1107.3475,100.31,4569.3425,0.8049
2026-04-19,28,101,4054.5699999999997,1129.0055,94.44,2925.5645,0.7215
2026-04-20,26,110,4564.15,1179.7275,69.55,3384.4225,0.7415
2026-04-21,29,101,3947.2799999999997,1025.577,105.23,2921.703,0.7402
2026-04-22,29,89,3758.65,915.8065,74.76,2842.8435,0.7563
2026-04-23,27,113,4347.7,1062.1485,75.07,3285.5515,0.7557
2026-04-24,27,113,4033.49,1159.515,85.47999999999999,2873.975,0.7125
2026-04-25,17,66,2611.49,599.8405,44.03,2011.6495,0.7703
2026-04-26,20,78,2799.91,764.0535,65.04,2035.8564999999999,0.7271
2026-04-27,27,71,2927.71,727.2965,52.02,2200.4135,0.7516
2026-04-28,25,98,3966.45,960.33,87.82,3006.12,0.7579
2026-04-29,21,64,2638.57,569.436,35.42,2069.134,0.7842
2026-04-30,21,95,3146.25,693.2520000000001,69.89,2452.998,0.7797
2026-05-01,20,77,3137.37,713.496,65.38,2423.874,0.7726
2026-05-02,25,87,3659.79,941.2095,28.86,2718.5805,0.7428
2026-05-03,21,67,2677.45,613.3050000000001,25.54,2064.145,0.7709
2026-05-04,18,74,2779.07,625.849,38.11,2153.221,0.7748
2026-05-05,13,68,2942.17,718.1790000000001,49.27,2223.991,0.7559
2026-05-06,80,293,13321.99,2548.49,290.88,10773.5,0.8087
2026-05-07,83,354,16430.15,3559.605,313.23,12870.545,0.7833
2026-05-08,87,307,14270.49,2941.0395,215.02,11329.4505,0.7939
2026-05-09,71,281,12633.01,2860.5465,215.74,9772.4635,0.7736
2026-05-10,59,211,10243.04,2123.1581,177.15,8119.8819,0.7927
2026-05-11,101,437,20080.3,4281.76,411.0,15798.539999999999,0.7868
2026-05-12,94,307,15074.76,2967.3945,291.54,12107.3655,0.8032
2026-05-13,56,187,8125.57,1682.8674,172.13,6442.7026000000005,0.7929
2026-05-14,78,261,12513.03,2289.168,265.61,10223.862,0.8171
2026-05-15,105,415,19823.34,3892.749,306.35,15930.591,0.8036
2026-05-16,31,110,5444.78,1107.435,56.12,4337.345,0.7966
2026-05-17,27,117,5101.5,945.5565,58.129999999999995,4155.9435,0.8147
2026-05-18,35,132,6092.84,1302.6552,143.66,4790.1848,0.7862
